name,id,salary_from,salary_to,experience,requirement,url
Python-разработчик (Django),82704622,50000,0,От 1 года до 3 лет,"Необходимый уровень Junior++/Middle, полная самостоятельность. Релевантный опыт от года. Основные технологии: Django, Django REST framework, PostgreSQL, Docker, Nginx, GIT. ",https://hh.ru/
Аналитик данных (Python),83091712,70000,0,От 1 года до 3 лет,Опыт работы с базами SQL. Опыт построения отчетов в PoweBI.,https://hh.ru/
Backend Python Developer,83297305,100000,0,От 1 года до 3 лет,Опыт разработки на Python от 2 лет. - Опыт работы в ИТ компании от 2 лет. - Опыт работы с Django от...,https://hh.ru/
Разработчик Python,83627947,50000,0,От 1 года до 3 лет,"Уверенное владение Python 2. Понимание XML, json. Умение разбираться в коде. Хорошее знание SQL. Git. Ответственность. Стремление развиваться. Будет плюсом:",https://hh.ru/
Разработчик Python Junior,82988392,0,0,От 1 года до 3 лет,"Уверенное знание python3. Базовые навыки администрирования linux. Опыт работы с одним или нескольким python web framework: Django, flask, FastAPI...",https://hh.ru/
Junior Python Developer,83385826,0,0,От 1 года до 3 лет,"Законченное техническое высшее образование в сфере IT, Сomputer Science или смежных областях (студентов 3-4 курсов рассматриваем также). ",https://hh.ru/
Python разработчик,84109496,0,0,От 3 до 6 лет,"Уверенные знания Python и основных библиотек. Понимание методов математической оптимизации. Знания основ Data Science, опыт обработки данных на Python и...",https://hh.ru/
Remote Python Developer,82791380,0,0,От 1 года до 3 лет,Опыт работы с Python и Django от 2 лет (Python 3 приветствуется). Знание баз данных SQL и NoSQL. ,https://hh.ru/
Программист Python,84174181,150000,0,От 3 до 6 лет,"Будем работать плечо к плечу, спина к спине над крутым продуктом. Минимум назойливых менеджеров и митингов, максимум инженерной работы! ",https://hh.ru/
Разработчик Python,84078072,150000,0,От 3 до 6 лет,"Знание технологий и языков программирования: Python, SQL, JavaScript (желательно, но можно освоить в процессе). Умение работать с системой контроля версий...",https://hh.ru/
Python Developer,83540822,0,0,От 1 года до 3 лет,Хорошее знание Python3. От 1 года опыта коммерческой разработки. Опыт работы с Linux и embedded системами. Опыт отладки и...,https://hh.ru/
Python middle,83800034,0,0,От 3 до 6 лет,"Важно понимание принципов ООП (объектно-ориентированного программирования) в Python. - Django фреймворк, знать его основные компоненты, такие как модели, представления (views...",https://hh.ru/
Python разработчик,83166142,250000,0,От 1 года до 3 лет,"Опыт работы с Python от 1,5 лет. Опыт работы с любым фреймворком для веб-приложений. Уверенный пользователь Linux, Docker. ",https://hh.ru/
Python-разработчик,83621909,0,0,От 1 года до 3 лет,"Владение Python3 на высоком уровне, достаточном для промышленного программирования (высоконагруженные асинхронные, много[поточные/процессные] приложения). Владение на минимальном уровне...",https://hh.ru/
Разработчик (Backend developer / Python),82847342,100000,0,От 1 года до 3 лет,"Высшее техническое образование (или выпускной курс). Опыт работы от 1,5 лет и знание: PostgreSQL, MongoDB, REST API, GraphQL, Git. ",https://hh.ru/
Python Developer,83540920,0,0,От 1 года до 3 лет,Хорошее знание Python3. От 1 года опыта коммерческой разработки. Опыт работы с Linux и embedded системами. Опыт отладки и...,https://hh.ru/
Middle Python Developer,83781440,0,0,От 1 года до 3 лет,Опыта коммерческой разработки на Python 3 от 2х лет и написания масштабируемого и понятного REST API. Опыта работы с...,https://hh.ru/
Разработчик Python,83362882,0,0,От 1 года до 3 лет,"Понимание микросервисных асинхронных и реактивных взаимодействий, разных подходов к координации сервисов, их децентрализации и масштабированию. Хорошее понимание ООП, применение паттернов...",https://hh.ru/
Python-разработчик,82901087,0,0,От 1 года до 3 лет,"Уверенно программируете на Python 2.7, 3.6+. Имеете базовые знания Linux, Git, Jira. Знаете, как устроена работа веб...",https://hh.ru/
Python-разработчик (middle / senior),83943793,0,0,От 1 года до 3 лет,"Высшее образование (желательно в области информационных технологий). Опыт коммерческой разработки не менее 3-х, а на языке Python не менее...",https://hh.ru/
